TIme,ws,rad,VWC_2_Avg,T_2_Avg,LE,H,TKE,Precp
4/07/16 02:00:00,1.9245,-83.9,0.294,6.086,-22.40286839,-33.69102255,0.7138471093,0
4/07/16 02:30:00,1.355654,-67.01,0.294,6.086,-11.99947758,-22.1305818,0.6236140061,0
4/07/16 03:00:00,1.666264,-44.37,0.294,5.981,-14.68242434,-22.6387519,0.6543139134,0
4/07/16 03:30:00,1.808086,-47.16,0.294,5.981,-10.00744711,-17.24957106,0.6841620943,0
4/07/16 04:00:00,2.139069,-37.05,0.293,6.228,-14.72851197,-22.72824276,0.6337405143,0
4/07/16 04:30:00,2.228356,-47.17,0.293,6.228,-27.53213833,-41.02921101,0.8252918936,0
4/07/16 05:00:00,1.171918,-78.95,0.293,6.2,-21.24329084,-45.04731414,0.6752421354,0
4/07/16 05:30:00,1.232192,-77.99,0.293,6.2,-23.80474516,-33.35689513,0.6368172711,0
4/07/16 06:00:00,1.520513,-69.96,0.292,4.735,-16.67620235,-25.58114419,0.4684804175,0
4/07/16 06:30:00,1.478246,-55.43,0.292,4.735,-1.237838758,-4.227060242,0.4997968297,0
4/07/16 07:00:00,1.540271,-17.86,0.291,4.365,5.146821079,2.786944771,0.4760049194,0
4/07/16 07:30:00,1.63972,-3.067,0.291,4.365,33.4683163,25.81305326,0.403353562,0
4/07/16 08:00:00,3.435095,50.26,0.291,6.016,87.31716437,70.01881097,0.7624584666,0
4/07/16 08:30:00,3.269612,153.4,0.291,6.016,119.2983351,89.95521721,0.7354939542,0
4/07/16 09:00:00,2.723617,207.2,0.29,8.14,103.5076517,159.3778153,0.6904678858,0
4/07/16 09:30:00,2.89666,262.8,0.29,8.14,187.6282357,129.4595389,1.062923748,0
4/07/16 10:00:00,2.507111,317.8,0.29,8.97,182.0615543,48.48954389,1.062874199,0
4/07/16 10:30:00,2.037582,233.4,0.29,8.97,137.2461377,48.62526226,1.001709206,0
4/07/16 11:00:00,1.78514,190.8,0.289,11.09,91.01171701,45.67510453,0.8880105138,0
4/07/16 11:30:00,4.048151,142.4,0.289,11.09,250.5053538,185.8331471,1.008973125,0
4/07/16 12:00:00,2.991253,452,0.289,11.61,264.7109367,388.938933,1.103494091,0
4/07/16 12:30:00,1.894426,693.5,0.289,11.61,64.98805456,51.80781018,1.103650503,0
4/07/16 13:00:00,3.873173,149,0.288,20.52,122.1084528,100.5850026,1.117900062,0
4/07/16 13:30:00,4.890484,246.4,0.288,20.52,230.7293021,265.7827676,1.255018735,0
4/07/16 14:00:00,3.592456,520.9,0.287,14.37,259.1020088,419.2381334,1.277493741,0
4/07/16 14:30:00,4.633778,719.8,0.287,14.37,135.8815118,110.9377454,1.899254256,0
4/07/16 15:00:00,9.33145,285.5,0.286,23.29,129.0899922,186.5485881,1.611509755,0
4/07/16 15:30:00,7.841832,347.1,0.286,23.29,103.2673683,54.69657335,1.497388966,0
4/07/16 16:00:00,4.953453,186.2,0.286,17.81,-35.53936383,-51.9406104,1.796063496,0
4/07/16 16:30:00,5.005953,-68.92,0.286,17.81,-44.06999896,-80.91876585,1.448762712,0.8
4/07/16 17:00:00,3.521613,-113.7,0.285,11.02,-23.14502359,-57.79211627,0.9398004753,1.5
4/07/16 17:30:00,2.811316,-74.72,0.285,11.02,5.296078771,3.317533214,0.832668993,0
4/07/16 18:00:00,3.19729,11.92,0.286,7.796,39.84146569,26.73947351,0.8284031457,0
4/07/16 18:30:00,3.52822,69.98,0.286,7.796,18.63232453,13.21550048,1.042609462,0.1
4/07/16 19:00:00,4.19532,36.04,0.287,9.54,31.52327754,24.60700793,1.140306268,0.2
4/07/16 19:30:00,2.919763,59.59,0.287,9.54,18.92739881,10.34617003,0.9954203193,0.1
4/07/16 20:00:00,2.108033,32.79,0.287,9.35,-3.893821144,-5.424844122,0.6800660978,0
4/07/16 20:30:00,2.362873,-7.05,0.287,9.35,-11.38097108,-18.28783693,0.5649987567,0.1
4/07/16 21:00:00,2.531163,-29.13,0.287,8.77,-19.79208187,-32.61686886,0.6930093131,0.3
4/07/16 21:30:00,2.594678,-53.6,0.287,8.77,-30.04559758,-45.04782136,0.8085933942,0
4/07/16 22:00:00,2.213188,-78.78,0.287,7.463,-46.17483957,-10.28081348,0.7012985516,0
4/07/16 22:30:00,1.743885,-61.39,0.287,7.463,-26.13486193,-46.76795027,0.5500636241,0
4/07/16 23:00:00,1.657597,-79.17,0.287,6.535,-30.13965832,-55.62001324,0.4370332577,0
4/07/16 23:30:00,2.2981,-93.7,0.287,6.535,-34.76021115,-68.54303928,0.6578349811,0.3
5/07/16 00:00:00,1.785065,-112.1,0.287,5.421,-29.41252691,-61.76624242,0.8649123986,0
5/07/16 00:30:00,2.961844,-100.9,0.287,5.421,-41.49168383,-66.73245165,0.8302567153,0
5/07/16 01:00:00,1.785569,-119.8,0.287,4.631,-87.1356695,0.9772085529,0.6524341923,0
5/07/16 01:30:00,2.842568,-98.5,0.287,4.631,-26.94311882,-50.1287754,0.7075784715,0
5/07/16 02:00:00,2.414493,-89.3,0.287,4.402,-16.98307027,-36.06494386,0.5745889365,0
5/07/16 02:30:00,3.275311,-65.14,0.287,4.402,-13.59970589,-22.7662183,0.8796572361,0
5/07/16 03:00:00,3.477135,-48.56,0.287,4.762,-13.44182108,-23.83917663,0.8010125044,0
5/07/16 03:30:00,4.042289,-49.77,0.287,4.762,-12.45040305,-20.98671314,0.8743511037,0
5/07/16 04:00:00,3.942419,-46.17,0.287,4.525,-9.982331252,-7.201052608,0.9192725911,0
5/07/16 04:30:00,3.467298,-30.18,0.287,4.525,-29.00119562,-4.348158966,0.7917997093,0
5/07/16 05:00:00,2.683815,-46.19,0.287,4.397,-16.79240141,-17.57437567,0.6840319797,0
5/07/16 05:30:00,1.99266,-46.83,0.287,4.397,-15.30189839,-33.46027772,0.5522331102,0
5/07/16 06:00:00,1.710884,-60.86,0.287,4.685,-27.52781796,-3.351212572,0.4448707666,0
5/07/16 06:30:00,1.579739,-42.45,0.287,4.685,-15.18214291,-24.60536958,0.4340222497,0
5/07/16 07:00:00,1.818542,-50.69,0.286,4.91,-9.85821556,-12.58838423,0.3745551059,0
5/07/16 07:30:00,2.449943,-32.83,0.286,4.91,15.18553224,12.91045471,0.5918847415,0
5/07/16 08:00:00,2.988938,18.7,0.286,4.932,10.28393614,7.50375978,0.7160495883,0
5/07/16 08:30:00,2.099325,9.58,0.286,4.932,16.45340645,14.03370563,0.4624132612,0
5/07/16 09:00:00,2.572119,23.38,0.286,5.924,29.92875251,21.87797169,0.4605560888,0
5/07/16 09:30:00,2.512059,46.4,0.286,5.924,42.55515273,32.24503678,0.4556466907,0
5/07/16 10:00:00,1.658032,70.76,0.286,7.086,103.5133069,53.0364482,0.4172067546,0
5/07/16 10:30:00,1.567229,155.8,0.286,7.086,109.7765608,67.07856686,0.4410275574,0
5/07/16 11:00:00,2.99569,181,0.286,9.14,41.72614462,104.5738634,0.5891610231,0
5/07/16 11:30:00,3.899887,152.1,0.286,9.14,119.5331403,105.239065,0.6573552289,0
5/07/16 12:00:00,3.42001,232.1,0.286,10.44,238.5801611,194.4296206,0.7688925523,0
5/07/16 12:30:00,3.845842,451.4,0.286,10.44,83.66366822,76.75050629,0.6939402134,0
5/07/16 13:00:00,3.666348,180.7,0.285,14.65,132.1980233,93.37316156,0.6725806412,0
5/07/16 13:30:00,1.919114,243.1,0.285,14.65,101.8312212,113.1141496,0.6830810281,0
