Time,H,LE,ws,wd,air_temp,TKE,rad,VWC_5_avg
18/07/201609:00:00,18.68998073,73.39952465,0.912840247,122.0850428,281.0519678,0.9,-10.11314,0.384
18/07/201609:30:00,49.69105065,79.9638568,1.039239025,169.0604337,282.1599365,0.9,-20.28168,0.383
18/07/201610:00:00,77.41990456,96.7805262,0.5890932845,140.2914367,282.7242503,0.9,-46.19418,0.386
18/07/201610:30:00,96.08140229,113.4048908,1.196115804,90.85230466,282.9597704,0.9,-54.93868,0.385
18/07/201611:00:00,137.2832441,165.3360702,1.585934795,106.1151733,284.0400938,0.9,-55.19217,0.383
18/07/201611:30:00,110.4636142,164.8883902,0.6565301867,107.1062517,284.8725854,0.9,-48.46222,0.382
18/07/201612:00:00,130.5442882,170.8844056,0.4953149296,88.25596485,285.9919628,0.9,-55.50772,0.38
18/07/201612:30:00,53.90646908,317.0617808,1.095692379,175.4346737,286.0630043,0.922859046,-35.54041,0.38
18/07/201613:00:00,66.17788579,109.5162584,0.622309812,236.6292124,287.1025044,1.266069319,-16.82969,0.378
18/07/201613:30:00,92.7564495,171.4439167,0.946857254,258.2000321,287.4950592,1.41533596,-24.60838,0.377
18/07/201614:00:00,64.23658165,169.5475833,0.203451867,228.6881581,287.8663488,1.859451276,-7.789895,0.377
18/07/201614:30:00,70.92919896,117.0618409,0.315648493,18.92309659,288.5598676,1.443529029,20.63504,0.377
18/07/201615:00:00,92.3900633,191.3344547,0.219893905,316.3619885,288.75001,0.817508922,51.25554,0.377
18/07/201615:30:00,74.89148565,191.4974678,0.55663736,228.9633856,289.1366179,1.193814943,189.2834,0.377
18/07/201616:00:00,92.37855414,199.4180923,0.212594919,158.0539604,289.5960209,0.90006095,172.6689,0.377
18/07/201616:30:00,131.8011656,244.1247241,0.940092663,234.0153469,289.5419041,1.10220872,213.0103,0.377
18/07/201617:00:00,67.63180743,174.015753,0.481942084,279.7211731,289.6933737,1.700473249,243.7949,0.377
18/07/201617:30:00,46.7749307,211.796403,0.178043228,319.8901827,289.2827369,1.756354031,403.3179,0.378
18/07/201618:00:00,-5.173865952,122.6911334,0.467535597,150.2042399,288.8861037,1.835368684,438.7058,0.379
18/07/201618:30:00,-19.28347912,82.10894759,0.56283486,278.5997978,286.8090987,1.122489409,372.1798,0.379
18/07/201619:00:00,-37.76261938,156.6495363,0.930926862,172.3078524,287.6801843,1.937868242,340.8902,0.378
18/07/201619:30:00,-39.66741641,58.89096533,1.323724439,195.491547,287.636925,1.357556028,572.5579,0.379
18/07/201620:00:00,-25.58279173,54.12578979,0.646964354,127.9832221,286.740885,0.862115261,627.3956,0.38
18/07/201620:30:00,-44.82569348,58.93876493,0.296311167,115.4198519,285.6787214,0.701150924,252.9383,0.38
18/07/201621:30:00,-42.9412542,-76.63194919,2.026490778,162.3964179,276.9154351,2.298882511,333.4836,0.38
18/07/201622:30:00,-49.6924525,-46.70871633,2.151088293,136.054152,276.4531646,1.45438873,166.0782,0.38
19/07/201600:00:00,-42.9412542,-76.63194919,1.268950668,145.3424344,278.6588146,1.072050337,354.1541,0.379
19/07/201601:00:00,-49.6924525,-46.70871633,1.319842545,152.6307859,277.4179049,0.704972586,229.8092,0.379
19/07/201601:30:00,-45.36743674,-74.45542877,0.910138931,134.4288162,276.3922809,0.385122235,286.3309,0.379
19/07/201603:30:00,-12.45900265,-46.29789555,0.878519876,136.2975044,274.1307648,0.119970059,210.0001,0.379
19/07/201604:00:00,-10.11253685,-46.29789555,0.954897307,143.954811,278.7544221,0.235884258,143.4499,0.378
19/07/201605:00:00,-1.713915226,-17.15233399,0.834464997,153.9544975,280.0285893,0.575469096,154.5741,0.378
19/07/201605:30:00,-54.94567883,18.09042494,0.646020077,120.2551305,281.1925128,0.474651936,42.61709,0.378
19/07/201606:00:00,-54.94567883,63.80788827,0.881301825,120.0734705,281.9391763,0.648085625,27.17672,0.377
